"Subject" "Activity_Name" "Time_BodyAccelerometre.mean...X" "Time_BodyAccelerometre.mean...Y" "Time_BodyAccelerometre.mean...Z" "Time_BodyAccelerometre.std...X" "Time_BodyAccelerometre.std...Y" "Time_BodyAccelerometre.std...Z" "Time_GravityAccelerometre.mean...X" "Time_GravityAccelerometre.mean...Y" "Time_GravityAccelerometre.mean...Z" "Time_GravityAccelerometre.std...X" "Time_GravityAccelerometre.std...Y" "Time_GravityAccelerometre.std...Z" "Time_BodyAccelerometreJerk.mean...X" "Time_BodyAccelerometreJerk.mean...Y" "Time_BodyAccelerometreJerk.mean...Z" "Time_BodyAccelerometreJerk.std...X" "Time_BodyAccelerometreJerk.std...Y" "Time_BodyAccelerometreJerk.std...Z" "Time_BodyGyroscope.mean...X" "Time_BodyGyroscope.mean...Y" "Time_BodyGyroscope.mean...Z" "Time_BodyGyroscope.std...X" "Time_BodyGyroscope.std...Y" "Time_BodyGyroscope.std...Z" "Time_BodyGyroscopeJerk.mean...X" "Time_BodyGyroscopeJerk.mean...Y" "Time_BodyGyroscopeJerk.mean...Z" "Time_BodyGyroscopeJerk.std...X" "Time_BodyGyroscopeJerk.std...Y" "Time_BodyGyroscopeJerk.std...Z" "Time_BodyAccelerometreMagnitude.mean.." "Time_BodyAccelerometreMagnitude.std.." "Time_GravityAccelerometreMagnitude.mean.."
1 "WALKING" 0.27813981054755 -0.0162792254038386 -0.109253752587896 -0.306066258557637 0.013139105598415 -0.208991649505101 0.921976347925072 -0.223827068 -0.0754535692045418 -0.976422923400576 -0.96481245 -0.952409190172911 0.0795966446960231 0.0125443171893372 -0.00848502718962536 -0.259278411676628 -0.070802397156196 -0.418930897048127 -0.0279921815410951 -0.0743670433472623 0.0814405535279251 -0.451502453392219 -0.293938396807925 -0.308493569479827 -0.0996848499004409 -0.0410123551907493 -0.0585549874176945 -0.316972179763689 -0.451433022472046 -0.4102033577 -0.14239665181562 -0.297199537341643 -0.14239665181562
2 "STANDING" 0.278366351225166 -0.017380273611755 -0.108471271062914 -0.986244320794702 -0.936728255264901 -0.94330621234106 0.940252141092715 -0.22399198592053 0.0161543965511589 -0.989834058178808 -0.973703294238411 -0.957334574801325 0.0759446421556291 0.0107816459172086 -0.00677027556923841 -0.98183582192053 -0.964357353509934 -0.981114164271523 -0.0286311244516225 -0.0709125558576159 0.0801744132115894 -0.941634016125828 -0.962696146754967 -0.958617868410596 -0.0993632222665563 -0.0415414215731788 -0.0520312507896358 -0.968600029271523 -0.98206104486755 -0.977485114072848 -0.957463646258278 -0.950432687748344 -0.957463646258278
3 "WALKING" 0.273645438592375 -0.0181531317527683 -0.108382492175953 -0.320027540340762 -0.0482564874510264 -0.285418191634604 0.931167484193548 -0.209306841061584 -0.0501638598762463 -0.977491524721408 -0.965980653489736 -0.954528945043988 0.0811485459987683 0.00992429849589443 0.00601726800794721 -0.265130721920997 -0.131365691335317 -0.488949844695308 -0.0301179785524633 -0.0694739487326393 0.0813363840993255 -0.492022981856598 -0.371850003054985 -0.357556433684457 -0.0952352582902933 -0.0495322686541936 -0.0487255184560411 -0.385668035697947 -0.535456680967449 -0.457280657188856 -0.181489181927859 -0.336971710233431 -0.181489181927859
4 "STANDING" 0.278623412744479 -0.0166573884709464 -0.104608703350505 -0.984997208422713 -0.931222930536278 -0.93816910807571 0.94738788384858 -0.169667002028391 0.000188180739854574 -0.989913342208202 -0.970761368107256 -0.951527137839117 0.0752905712208202 0.00746426473409148 -0.00499113096978864 -0.978526346498423 -0.961302404100946 -0.977308378044164 -0.0272081292360883 -0.0678671566810726 0.0816609340400631 -0.941849379716088 -0.959634995457413 -0.95798961126183 -0.101756585728707 -0.0434965755460568 -0.0533034764217666 -0.962540112555205 -0.979061577886435 -0.976086490536278 -0.953767756876972 -0.945726294100946 -0.953767756876972
5 "WALKING" 0.274309437582781 -0.0185948901200662 -0.109530613486755 -0.311342540137086 0.00165716653877483 -0.314435802615894 0.933132916291391 -0.21629249413245 -0.0411761106529801 -0.976113875463576 -0.968276596655629 -0.957777500728477 0.0814201714839735 0.0349847013846026 0.00403142617605629 -0.278435701109603 -0.0862884557598675 -0.518329895324503 -0.0291141160964901 -0.0720995484065662 0.0805804252842533 -0.476574876701987 -0.35174360025894 -0.34898835217053 -0.104428654202318 -0.0446357673576159 -0.0528766690448013 -0.380495889192053 -0.547296363172185 -0.450140518193709 -0.168845420266808 -0.338779974503311 -0.168845420266808
6 "WALKING" 0.277974722 -0.0184163176102738 -0.109657243384615 -0.314236840045538 -0.0287457150998462 -0.257344381231877 0.943117260615385 -0.181710135181846 -0.0687535279845538 -0.977649577076923 -0.967853496769231 -0.954628575323077 0.0630088783723077 -0.00666844536123077 -0.000497751748923078 -0.263499477116308 -0.109989332138092 -0.466900696940615 -0.0508863445599077 -0.0606631104387692 0.0938663941770769 -0.464344142723077 -0.308235168183723 -0.333863034501538 -0.0806292667455385 -0.0467535176421231 -0.0512829628488615 -0.376140939535385 -0.473884120347692 -0.441411809469846 -0.165158259013538 -0.340812702615385 -0.165158259013538
7 "WALKING" 0.276775740194805 -0.0180022251980029 -0.107445485336688 -0.309376977890942 -0.0362739614962013 -0.296001163340909 0.943651131493507 -0.16438607660487 -0.0305534045958117 -0.979052831688312 -0.96685729711039 -0.952603161493507 0.0767065154814935 0.00988291825802442 -0.00388957818340909 -0.258082235580519 -0.115549905973182 -0.497060754428571 -0.038392882178474 -0.0683361272131169 0.0939316706932467 -0.447037791996753 -0.378476976282468 -0.330787509886364 -0.0916457291674253 -0.0406189847415584 -0.0612284061292532 -0.399852292899026 -0.542095606571429 -0.464020668225325 -0.16917187141476 -0.353874114753247 -0.16917187141476
8 "WALKING" 0.278730582929293 -0.0186950718515152 -0.109239649262626 -0.353968060808081 -0.0878724031717172 -0.324030461292929 0.945836303030303 -0.148403821191919 -0.0526067648585859 -0.98216012959596 -0.970254395858586 -0.958906888989899 0.0820766915878788 0.00640935025656565 -0.0298919011242424 -0.309866584569697 -0.109594864138384 -0.521387441984646 -0.026887237979798 -0.0758407358070707 0.0903846559757576 -0.527445112323232 -0.478282526323232 -0.384363400717172 -0.0944556588407071 -0.0448727046631313 -0.0461726105434343 -0.465060998686869 -0.578088487191919 -0.503806131212121 -0.213301493333333 -0.419271338434343 -0.213301493333333
8 "WALKING_UPSTAIRS" 0.257893373702198 -0.0292847334454396 -0.120049062663736 -0.219742718059505 0.0595357967401099 -0.157652223775275 0.868554932417582 -0.323241424972527 -0.176667311180495 -0.938981759450549 -0.92052199956044 -0.897164448351648 0.0535102174983517 0.0174848539163187 0.0205998646960989 -0.330567804450549 -0.257777170932967 -0.587428449340659 0.072378754019011 -0.127122969522967 0.0143754133835165 -0.445444042216484 -0.361971593831319 -0.229207888958132 -0.115831235885769 -0.0298283269395604 -0.0536898566013736 -0.50209471960989 -0.656564781208791 -0.54195372033022 -0.0587592178145055 -0.267409300181319 -0.0587592178145055
9 "STANDING" 0.278284976388889 -0.0162563276170833 -0.106029601059028 -0.985147126979167 -0.931407487569444 -0.946456906736111 0.930788813888889 -0.192575743190972 -0.0188536997170139 -0.987266991458333 -0.970526311493056 -0.95928610375 0.0753555928368056 0.00964371254062153 -0.00330333184736458 -0.981699051111111 -0.964024453576389 -0.980969587569444 -0.0265498515349306 -0.0681732666545139 0.0782352320260417 -0.942647101076389 -0.962377130104167 -0.9578524015625 -0.0999654021201389 -0.0415144359680556 -0.0525909081714931 -0.966410685659722 -0.980754563333333 -0.977191270833333 -0.9564282471875 -0.9500195209375 -0.9564282471875
10 "LAYING" 0.271955640141414 -0.0172440081767677 -0.112647412991919 -0.960106602914141 -0.951462277848485 -0.952398875161616 -0.348691333914141 0.678393442777778 0.603866666691919 -0.943664621742424 -0.974419599191919 -0.954889977525253 0.081100748550505 0.012401314860404 -0.00244022737590909 -0.97804185510101 -0.96603268969697 -0.976332394090909 -0.0113737480050505 -0.104902803689899 0.139246699262626 -0.968843273737374 -0.959003331161616 -0.959716157323232 -0.102220804975758 -0.0363605967735354 -0.0677162618333333 -0.970994800252525 -0.977984728232323 -0.980665501767677 -0.951151911712121 -0.938173633606061 -0.951151911712121
